Var	Rank	Full_name	Par_name	Legend	Units	Org_units	Scale	Shading	Processing	Round
runoff	1	Runoff	Runoff	['DarkBlue(0:20)', 'DarkBlue(0:100)', 'DarkBlue(0:1000)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
surfRunoff	2	Surface Runoff	Surface Runoff	['DarkBlue(0:20)', 'DarkBlue(0:100)', 'DarkBlue(0:1000)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
discharge_in	3	Inflow discharge	Discharge	['Rainbow(0.1:100000)Log', 'Rainbow(0.1:100000)Log', 'Rainbow(0.1:100000)Log']	['m3/sec', 'm3/sec', 'm3/sec']	['m3/sec', 'm3/sec', 'm3/sec']	['', '', '']	5:0	log:zero	%.3f
discharge	4	Discharge	Discharge	['Rainbow(0.1:100000)Log', 'Rainbow(0.1:100000)Log', 'Rainbow(0.1:100000)Log']	['m3/sec', 'm3/sec', 'm3/sec']	['m3/sec', 'm3/sec', 'm3/sec']	['', '', '']	5:0	log:zero	%.3f
discharge_out	5	Outflow discharge	Discharge	['Rainbow(0.1:100000)Log', 'Rainbow(0.1:100000)Log', 'Rainbow(0.1:100000)Log']	['m3/sec', 'm3/sec', 'm3/sec']	['m3/sec', 'm3/sec', 'm3/sec']	['', '', '']	5:0	log:zero	%.3f
discharge_abs	6	Discharge abstracted for human use	Discharge	['Rainbow(0.1:100000)Log', 'Rainbow(0.1:100000)Log', 'Rainbow(0.1:100000)Log']	['m3/sec', 'm3/sec', 'm3/sec']	['m3/sec', 'm3/sec', 'm3/sec']	['', '', '']	5:0	log:zero	%.3f
baseflow	7	Baseflow	Baseflow	['DarkBlue(0:20)', 'DarkBlue(0:100)', 'DarkBlue(0:1000)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
yMean	8	River channel depth	Depth	['Rainbow(0.1:10)Log', 'Rainbow(0.1:10)Log', 'Rainbow(0.1:10)Log']	['m', 'm', 'm']	['m', 'm', 'm']	['', '', '']	5:0		%.2f
wMean	9	River channel width	Width	['Rainbow(0.1:1000)Log', 'Rainbow(0.1:1000)Log', 'Rainbow(0.1:1000)Log']	['m', 'm', 'm']	['m', 'm', 'm']	['', '', '']	5:0		%.1f
depth	10	Instantaneous river depth	Depth	['Rainbow(0.1:10)Log', 'Rainbow(0.1:10)Log', 'Rainbow(0.1:10)Log']	['m', 'm', 'm']	['m', 'm', 'm']	['', '', '']	5:0		%.2f
width	11	Instantaneous river width	Width	['Rainbow(0.1:1000)Log', 'Rainbow(0.1:1000)Log', 'Rainbow(0.1:1000)Log']	['m', 'm', 'm']	['m', 'm', 'm']	['', '', '']	5:0	noScale:noOffsite	%.1f
length	12	Instantaneous river length	Length	['Rainbow(0.1:10000)Log', 'Rainbow(0.1:10000)Log', 'Rainbow(0.1:10000)Log']	['m', 'm', 'm']	['m', 'm', 'm']	['', '', '']	5:0	noScale:noOffsite	%.0f
speed	13	Instantaneous river speed	Speed	['Rainbow(0.01:1)Log', 'Rainbow(0.01:1)Log', 'Rainbow(0.01:1)Log']	['m/sec', 'm/sec', 'm/sec']	['m/sec', 'm/sec', 'm/sec']	['', '', '']	5:0		%.3f
precip	14	Precipitation	precip	['DarkBlue(0:20)', 'DarkBlue(0:100)', 'DarkBlue(0:1000)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
airT	15	Temperature	Air Temperature	['RainbowBR(0:30)', 'RainbowBR(0:30)', 'RainbowBR(0:30)']	['C', 'C', 'C']	['C', 'C', 'C']	['', '', '']	5:0		%.1f
snowPack	16	Snow Pack (in snow water equivalent)	SnowPack	['RainbowRB(0:200)', 'RainbowRB(0:200)', 'RainbowRB(0:200)']	['mm', 'mm', 'mm']	['mm', 'mm', 'mm']	['', '', '']	5:0		%.2f
snowPackChg	17	Snow Pack change  (in snow water equivalent)	SnowPack Change	['RainbowRB(0:200)', 'RainbowRB(0:200)', 'RainbowRB(0:200)']	['mm', 'mm', 'mm']	['mm', 'mm', 'mm']	['', '', '']	5:0		%.2f
snowMelt	18	Snow Melt	snowMelt	['RainbowRB(0:200)', 'RainbowRB(0:200)', 'RainbowRB(0:200)']	['mm', 'mm', 'mm']	['mm', 'mm', 'mm']	['', '', '']	5:0		%.2f
snowFall	19	SnowFall	snowFall	['RainbowRB(0:200)', 'RainbowRB(0:200)', 'RainbowRB(0:200)']	['mm', 'mm', 'mm']	['mm', 'mm', 'mm']	['', '', '']	5:0		%.2f
dayLength	20	Day Length	Day Length	['RainbowRB(0:200)', 'RainbowRB(0:200)', 'RainbowRB(0:200)']	['fraction', 'fraction', 'fraction']	['fraction', 'fraction', 'fraction']	['', '', '']	5:0		%.2f
pet	21	Potential Evapotranspiration	Evapotranspiration	['RainbowRB(0:10)', 'RainbowRB(0:100)', 'RainbowRB(0:1000)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
evapotrans	22	Evapotranspiration	Evapotranspiration	['RainbowRB(0:10)', 'RainbowRB(0:100)', 'RainbowRB(0:1000)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
etIrrCrops	23	Evapotranspiration from irrigated Crops	Evapotranspiration	['RainbowRB(0:10)', 'RainbowRB(0:100)', 'RainbowRB(0:1000)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
etRfdCrops	24	Evapotranspiration from rainfed Crops	Evapotranspiration	['RainbowRB(0:10)', 'RainbowRB(0:100)', 'RainbowRB(0:1000)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
etNonCrops	25	Evapotranspiration from non-crop land	Evapotranspiration	['RainbowRB(0:10)', 'RainbowRB(0:100)', 'RainbowRB(0:1000)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
openWaterEvap	26	Evapotranspiration from Rivers, Lakes and Reservoirs	Evaporation	['RainbowRB(0:10)', 'RainbowRB(0:100)', 'RainbowRB(0:1000)']	['mm/day', 'mm/month', 'mm/year']	['mm/day', 'mm/day', 'mm/day']	['', 30, 365]	5:0		%.2f
